Ranking;Titulo;Ano;Duração;Classificação;Avaliação
62;Crepúsculo dos Deuses;1950;1h 50m;Livre;8.4
63;Glória Feita de Sangue;1957;1h 28m;14;8.4
64;Vingadores: Guerra Infinita;2018;2h 29m;12;8.4
65;Homem-Aranha: No Aranhaverso;2018;1h 57m;10;8.4
66;Testemunha de Acusação;1957;1h 56m;12;8.4
67;O Iluminado;1980;2h 26m;16;8.4
68;O Grande Ditador;1940;2h 5m;Livre;8.4
69;Aliens, O Resgate;1986;2h 17m;14;8.4
70;Bastardos Inglórios;2009;2h 33m;18;8.4
71;Batman: O Cavaleiro das Trevas Ressurge;2012;2h 44m;12;8.4
72;Dr Fantástico;1964;1h 35m;10;8.4
73;Beleza Americana;1999;2h 2m;14;8.3
74;Oldboy;2003;2h;16;8.3
75;Viva - A Vida é uma Festa;2017;1h 45m;Livre;8.4
76;Amadeus;1984;2h 40m;Livre;8.4
77;Toy Story;1995;1h 21m;Livre;8.3
78;O Barco: Inferno no Mar;1981;2h 29m;14;8.4
79;Coração Valente;1995;2h 58m;16;8.3
80;Vingadores: Ultimato;2019;3h 1m;12;8.4
81;Coringa;2019;2h 2m;16;8.4
82;Princesa Mononoke;1997;2h 14m;12;8.3
83;Gênio Indomável;1997;2h 6m;14;8.3
84;Your Name;2016;1h 46m;Livre;8.4
85;Era uma Vez na América;1984;3h 49m;18;8.3
86;Céu e Inferno;1963;2h 23m;Not Rated;8.4
87;3 Idiotas;2009;2h 50m;12;8.4
88;Cantando na Chuva;1952;1h 43m;Livre;8.3
89;Cafarnaum;2018;2h 6m;16;8.4
90;Oppenheimer;2023;3h;16;8.3
91;Réquiem para um Sonho;2000;1h 42m;18;8.3
92;Vá e Veja;1985;2h 22m;18;8.4
93;Toy Story 3;2010;1h 43m;Livre;8.3
94;Star Wars: Episódio VI - O Retorno de Jedi;1983;2h 11m;Livre;8.3
95;Brilho Eterno de uma Mente sem Lembranças;2004;1h 48m;14;8.3
96;A Caça;2012;1h 55m;14;8.3
97;2001: Uma Odisséia no Espaço;1968;2h 29m;Livre;8.3
98;Cães de Aluguel;1992;1h 39m;18;8.3
99;Viver;1952;2h 23m;Not Rated;8.3
100;Lawrence da Arábia;1962;3h 38m;14;8.3
101;Se Meu Apartamento Falasse;1960;2h 5m;Livre;8.3
102;Intriga Internacional;1959;2h 16m;14;8.3
103;Cidadão Kane;1941;1h 59m;Livre;8.3
104;Incêndios;2010;2h 11m;14;8.3
105;Um Corpo que Cai;1958;2h 8m;14;8.3
106;M, o Vampiro de Dusseldorf;1931;1h 57m;12;8.3
107;Pacto de Sangue;1944;1h 47m;14;8.3
108;Scarface;1983;2h 50m;18;8.3
109;O Fabuloso Destino de Amélie Poulain;2001;2h 2m;14;8.3
110;Nascido para Matar;1987;1h 56m;16;8.3
111;Laranja Mecânica;1971;2h 16m;(Banned);8.3
112;Fogo Contra Fogo;1995;2h 50m;14;8.3
113;Up: Altas Aventuras;2009;1h 36m;Livre;8.3
114;O Sol é para Todos;1962;2h 9m;12;8.3
115;Golpe de Mestre;1973;2h 9m;18;8.3
116;A Separação;2011;2h 3m;12;8.3
117;Indiana Jones e a Última Cruzada;1989;2h 7m;Livre;8.2
118;Duro de Matar;1988;2h 12m;14;8.2
119;Metrópolis;1927;2h 33m;Livre;8.3
120;Como Estrelas na Terra;2007;2h 42m;Livre;8.3
121;Hamilton;2020;2h 40m;12;8.3
122;Snatch - Porcos e Diamantes;2000;1h 44m;16;8.2
123;Los Angeles: Cidade Proibida;1997;2h 18m;18;8.2
124;Ladrões de Bicicletas;1948;1h 29m;10;8.3
125;1917;2019;1h 59m;14;8.2
126;Taxi Driver: Motorista de Táxi;1976;1h 54m;14;8.2
127;A Queda! As Últimas Horas de Hitler;2004;2h 36m;16;8.2
128;Dangal;2016;2h 41m;10;8.3
129;Por uns Dólares a Mais;1965;2h 12m;12;8.2
130;Batman Begins;2005;2h 20m;10;8.2
131;O Lobo de Wall Street;2013;3h;18;8.2
132;Quanto Mais Quente Melhor;1959;2h 1m;Livre;8.2
133;Green Book: O Guia;2018;2h 10m;12;8.2
134;O Garoto;1921;1h 8m;Livre;8.2
135;Meu Pai;2020;1h 37m;12;8.2
136;Julgamento em Nuremberg;1961;2h 59m;Approved;8.3
137;A Malvada;1950;2h 18m;Livre;8.2
138;O Show de Truman: O Show da Vida;1998;1h 43m;12;8.2
139;Top Gun: Maverick;2022;2h 10m;12;8.2
140;Ilha do Medo;2010;2h 18m;16;8.2
141;Sangue Negro;2007;2h 38m;14;8.2
142;Cassino;1995;2h 58m;18;8.2
143;Ran;1985;2h 40m;16;8.2
144;Jurassic Park - O Parque dos Dinossauros;1993;2h 7m;Livre;8.2
145;O Sexto Sentido;1999;1h 47m;12;8.2
146;O Labirinto do Fauno;2006;1h 58m;16;8.2
147;Os Imperdoáveis;1992;2h 10m;12;8.2
148;Onde os Fracos Não Têm Vez;2007;2h 2m;16;8.2
149;Uma Mente Brilhante;2001;2h 15m;12;8.2
150;O Enigma de Outro Mundo;1982;1h 49m;14;8.2
151;O Tesouro da Sierra Madre;1948;2h 6m;Livre;8.2
152;Kill Bill: Volume 1;2003;1h 51m;18;8.2
153;Yojimbo, o Guarda-Costas;1961;1h 50m;Livre;8.2
154;Monty Python em Busca do Cálice Sagrado;1975;1h 31m;Livre;8.2
155;Fugindo do Inferno;1963;2h 52m;12;8.2
156;Procurando Nemo;2003;1h 40m;Livre;8.2
